#Energy 	 levels_created [this bin] 	 levels_model [MeV^-1] 	 levels_model_from_tot [MeV^-1]
5.93505	1995	121122	120964
5.95137	2055	124472	124310
5.96769	2052	127822	127656
5.98402	2122	131423	131253
6.00034	2215	135055	134881
6.01666	2269	138687	138509
6.03299	2338	142599	142416
6.04931	2367	146537	146350
6.06564	2519	150475	150284
6.08196	2535	154726	154529
6.09828	2608	158996	158794
6.11461	2657	163265	163059
6.13093	2741	167884	167673
6.14725	2799	172513	172297
6.16358	2893	177143	176921
6.1799	2938	182160	181934
6.19623	3081	187180	186948
6.21255	3067	192209	191971
6.22887	3227	197651	197407
6.2452	3338	203093	202844
6.26152	3399	208558	208303
6.27784	3450	214459	214197
6.29417	3547	220360	220092
6.31049	3717	226299	226024
6.32682	3792	232696	232415
6.34314	3924	239094	238806
6.35946	4068	245548	245252
6.37579	4108	252485	252182
6.39211	4222	259421	259111
6.40843	4331	266434	266117
6.42476	4443	273955	273630
6.44108	4583	281476	281143
6.45741	4745	289097	288756
6.47373	4843	297252	296902
6.49005	5012	305406	305048
6.50638	5080	313687	313320
6.5227	5215	322529	322153
6.53902	5365	331371	330985
6.55535	5506	340369	339975
6.57167	5706	349956	349551
6.588	5850	359542	359128
6.60432	5997	369320	368896
6.62064	6166	379715	379280
6.63697	6386	390109	389663
6.65329	6491	400734	400278
6.66961	6692	412004	411536
6.68594	6864	423273	422794
6.70226	7096	434820	434329
6.71859	7291	447039	446536
6.73491	7515	459258	458743
6.75123	7687	471804	471276
6.76756	7883	485052	484512
6.78388	8129	498301	497747
6.8002	8312	511934	511367
6.81653	8519	526298	525717
6.83285	8657	540663	540067
6.84918	9054	555477	554867
6.8655	9366	571052	570426
6.88182	9563	586626	585985
6.89815	9767	602723	602067
6.91447	10003	619610	618937
6.93079	10368	636496	635807
6.94712	10636	653988	653282
6.96344	10998	672297	671574
6.97977	11283	690606	689865
6.99609	11622	709613	708854
7.01241	11916	729464	728686
7.02874	12356	749315	748519
7.04506	12557	769968	769152
7.06138	12845	791492	790655
7.07771	13294	813015	812159
7.09403	13638	835456	834579
7.11036	13966	858793	857894
7.12668	14408	882130	881209
7.143	14797	906514	905571
7.15933	15148	931817	930850
7.17565	15564	957120	956129
7.19197	16090	983616	982601
7.2083	16507	1.01105e+06	1.01001e+06
7.22462	16967	1.03848e+06	1.03742e+06
7.24095	17330	1.06727e+06	1.06618e+06
7.25727	17907	1.09702e+06	1.0959e+06
7.27359	18299	1.12676e+06	1.12562e+06
7.28992	18993	1.15805e+06	1.15687e+06
7.30624	19459	1.1903e+06	1.1891e+06
7.32256	19895	1.22255e+06	1.22132e+06
7.33889	20518	1.25654e+06	1.25528e+06
7.35521	21053	1.29151e+06	1.29021e+06
7.37154	21604	1.32647e+06	1.32515e+06
7.38786	22248	1.36341e+06	1.36205e+06
7.40418	22821	1.40132e+06	1.39993e+06
7.42051	23432	1.43923e+06	1.43781e+06
7.43683	24070	1.47937e+06	1.47791e+06
7.45315	24771	1.52047e+06	1.51898e+06
7.46948	25571	1.56158e+06	1.56005e+06
7.4858	26173	1.60518e+06	1.60362e+06
7.50213	26901	1.64975e+06	1.64815e+06
7.51845	27657	1.69432e+06	1.69268e+06
7.53477	28459	1.7417e+06	1.74002e+06
7.5511	29120	1.79003e+06	1.7883e+06
7.56742	30018	1.83835e+06	1.83658e+06
7.58374	30820	1.88983e+06	1.88802e+06
7.60007	31659	1.94222e+06	1.94037e+06
7.61639	32690	1.99462e+06	1.99272e+06
